Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:04:57:263,63.44508,1,RTdata,3.402 -0.081 -3.631,7.655 339.416 1.233,-0.301 -0.126 0.945,1,1,fakeWallSouth,1.924 1.501 -4.821,-0.926 -0.133 -0.353,-0.944 -0.126 -0.306,-1.969 0.974 -6.070,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,179.000 174.361,231.782 168.182,NaN,
15:04:57:297,63.47829,1,RTdata,3.402 -0.081 -3.630,7.612 339.224 1.187,-0.305 -0.129 0.944,1,1,fakeWallSouth,1.923 1.502 -4.821,-0.925 -0.132 -0.356,-0.942 -0.129 -0.310,-1.228 1.063 -5.848,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,179.050 174.403,233.325 167.749,NaN,
15:04:57:330,63.51175,1,RTdata,3.402 -0.080 -3.630,7.508 339.034 1.149,-0.309 -0.127 0.943,1,1,fakeWallSouth,1.923 1.502 -4.821,-0.924 -0.131 -0.359,-0.941 -0.127 -0.313,-1.735 0.998 -6.029,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,178.307 175.139,233.245 166.978,NaN,
15:04:57:363,63.54486,1,RTdata,3.402 -0.080 -3.629,7.260 338.869 1.131,-0.305 -0.127 0.944,1,1,fakeWallSouth,1.922 1.502 -4.821,-0.924 -0.126 -0.362,-0.942 -0.127 -0.310,-0.040 1.226 -5.461,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,179.301 175.441,232.441 166.609,NaN,
15:04:57:397,63.57856,1,RTdata,3.402 -0.079 -3.629,6.888 338.719 1.131,-0.259 -0.087 0.962,1,1,OtherParticipant,1.922 1.503 -4.821,-0.923 -0.120 -0.365,-0.961 -0.087 -0.263,0.410 1.354 -5.232,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.350,43.682,170.652 181.656,235.547 160.558,130.509,
15:04:57:431,63.61229,1,RTdata,3.402 -0.078 -3.629,6.430 338.586 1.131,-0.165 0.067 0.984,1,1,OtherParticipant,1.922 1.504 -4.820,-0.923 -0.112 -0.367,-0.983 0.067 -0.169,0.399 1.595 -5.080,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,145.013 191.551,252.051 152.998,NaN,
15:04:57:464,63.64526,1,RTdata,3.402 -0.078 -3.629,5.981 338.456 1.073,-0.158 0.078 0.984,1,1,OtherParticipant,1.921 1.505 -4.820,-0.923 -0.104 -0.370,-0.984 0.078 -0.162,1.176 1.556 -4.942,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.042,359.633,144.990 191.651,250.612 150.442,3.620,
15:04:57:497,63.67869,1,RTdata,3.403 -0.077 -3.628,5.561 338.319 0.982,-0.160 0.071 0.985,1,1,OtherParticipant,1.921 1.505 -4.820,-0.923 -0.097 -0.372,-0.984 0.071 -0.164,1.447 1.534 -4.899,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,1.622,341.464,146.437 191.587,249.982 149.627,9.246,
15:04:57:531,63.71214,1,RTdata,3.403 -0.076 -3.628,5.183 338.184 0.866,-0.161 0.067 0.985,1,1,OtherParticipant,1.921 1.506 -4.820,-0.923 -0.090 -0.375,-0.984 0.067 -0.165,1.598 1.524 -4.874,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.454,330.791,147.222 191.464,248.030 148.565,7.309,
15:04:57:564,63.74548,1,RTdata,3.403 -0.076 -3.628,4.869 338.074 0.751,-0.174 0.085 0.981,1,1,OtherParticipant,1.921 1.506 -4.819,-0.922 -0.085 -0.377,-0.980 0.085 -0.179,-0.003 1.662 -5.169,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,147.634 192.279,246.760 147.880,NaN,
